Artlfd,PL-AT,Artikelname,AG-ID,Pfad,Online-Artikelname,Produktname,Kurztext,Vorteile,Anwendungsbereiche,Einsatzbereiche,Anwendung,Nutzenargumentation,youtube-Film
1005,500238,Schutzglas DIN  9  verspiegelt 90 x 110 mm,3203,"Produkte entdecken|Schweißzubehör|Schweißplatzausstattung|Schweißer-Schutzgläser,verspiegelt","Schutzglas / DIN 9, 90 x 110 mm, verspiegelt","Schweißer-Schutzgläser,verspiegelt",Schweißerschutzgläser für optimalen Schutz,,"• Zum Einsatz bei gleichen Anwendungsgebieten wie Standardschutzgläser, speziell bei höherer Wärmeentwicklung, da sie zusätzlich 90 % der Wärmestrahlung reflektieren (im Vergleich zu Standardschutzgläsern 4 %)

• Streulicht: Grenzwert lt. Norm: 1,0 cd/m2 / 1 x TECHNOLIT® Gläser: 0,09 cd/m2 1 x",,,"Für Standardanwendungen & hohe Wärme.

90% Wärmereflektion (vs. 4% Standard).

Streulicht: Normgrenze 1,0 cd/m², TECHNOLIT® Glas 0,09 cd/m².",
1006,500239,Schutzglas DIN 10  verspiegelt 90 x 110 mm,3203,"Produkte entdecken|Schweißzubehör|Schweißplatzausstattung|Schweißer-Schutzgläser,verspiegelt","Schutzglas / DIN 10, 90 x 110 mm, verspiegelt","Schweißer-Schutzgläser,verspiegelt",Schweißerschutzgläser für optimalen Schutz,,"• Zum Einsatz bei gleichen Anwendungsgebieten wie Standardschutzgläser, speziell bei höherer Wärmeentwicklung, da sie zusätzlich 90 % der Wärmestrahlung reflektieren (im Vergleich zu Standardschutzgläsern 4 %)

• Streulicht: Grenzwert lt. Norm: 1,0 cd/m2 / 1 x TECHNOLIT® Gläser: 0,09 cd/m2 1 x",,,"Für Standardanwendungen & hohe Wärme.

90% Wärmereflektion (vs. 4% Standard).

Streulicht: Normgrenze 1,0 cd/m², TECHNOLIT® Glas 0,09 cd/m².",
1007,500240,Schutzglas DIN 11  verspiegelt 90 x 110 mm,3203,"Produkte entdecken|Schweißzubehör|Schweißplatzausstattung|Schweißer-Schutzgläser,verspiegelt","Schutzglas / DIN 11, 90 x 110 mm, verspiegelt","Schweißer-Schutzgläser,verspiegelt",Schweißerschutzgläser für optimalen Schutz,,"• Zum Einsatz bei gleichen Anwendungsgebieten wie Standardschutzgläser, speziell bei höherer Wärmeentwicklung, da sie zusätzlich 90 % der Wärmestrahlung reflektieren (im Vergleich zu Standardschutzgläsern 4 %)

• Streulicht: Grenzwert lt. Norm: 1,0 cd/m2 / 1 x TECHNOLIT® Gläser: 0,09 cd/m2 1 x",,,"Für Standardanwendungen & hohe Wärme.

90% Wärmereflektion (vs. 4% Standard).

Streulicht: Normgrenze 1,0 cd/m², TECHNOLIT® Glas 0,09 cd/m².",
106916,625145,"Texstar-Zirkon flach 125 x 22 mm, K-40",928,Produkte entdecken|Schleif- und Trenntechnik|Fächerschleifscheiben|Texstar® Zirkon flach,Texstar Zirkon / 125 mm / K-40,Texstar® Zirkon flach,Fächerschleifscheibe mit aggressivem Zirkonkorund-Schleifmittel ,,"• Lamellen aus hochwertigem Zirkonkorund für einen sauberen Schliff  

• Erhältlich in gewölbter oder flacher Form  

• Selbstschärfend, dadurch kein Zusetzen der Scheibe  

• Kein Stützteller erforderlich  

• Sehr wirkungsvoll zum Schleifen an Behältern, zum Säubern von Schweißnähten, zum Entgraten, Entrosten und zum Putzen von Gussteilen","- ?Säubern und Einebnen von Schweißnähten

- ?Entgraten, Entrosten und zum Putzen 

- ?Schleifen von Kanten und Flächen

- ?Besonders geeignet für Edelstahl",,"Lamellen aus hochwertigem Zirkonkorund für einen sauberen Schliff  

Erhältlich in gewölbter oder flacher Form  

Selbstschärfend, dadurch kein Zusetzen der Scheibe",
106918,625146,"Texstar-Zirkon flach 125 x 22 mm, K-60",928,Produkte entdecken|Schleif- und Trenntechnik|Fächerschleifscheiben|Texstar® Zirkon flach,Texstar Zirkon / 125 mm / K-60,Texstar® Zirkon flach,Fächerschleifscheibe mit aggressivem Zirkonkorund-Schleifmittel ,,"• Lamellen aus hochwertigem Zirkonkorund für einen sauberen Schliff  

• Erhältlich in gewölbter oder flacher Form  

• Selbstschärfend, dadurch kein Zusetzen der Scheibe  

• Kein Stützteller erforderlich  

• Sehr wirkungsvoll zum Schleifen an Behältern, zum Säubern von Schweißnähten, zum Entgraten, Entrosten und zum Putzen von Gussteilen","- ?Säubern und Einebnen von Schweißnähten

- ?Entgraten, Entrosten und zum Putzen 

- ?Schleifen von Kanten und Flächen

- ?Besonders geeignet für Edelstahl",,"Lamellen aus hochwertigem Zirkonkorund für einen sauberen Schliff  

Erhältlich in gewölbter oder flacher Form  

Selbstschärfend, dadurch kein Zusetzen der Scheibe",
106920,625147,"Texstar-Zirkon flach 125 x 22 mm, K-80",928,Produkte entdecken|Schleif- und Trenntechnik|Fächerschleifscheiben|Texstar® Zirkon flach,Texstar Zirkon / 125 mm / K-80,Texstar® Zirkon flach,Fächerschleifscheibe mit aggressivem Zirkonkorund-Schleifmittel ,,"• Lamellen aus hochwertigem Zirkonkorund für einen sauberen Schliff  

• Erhältlich in gewölbter oder flacher Form  

• Selbstschärfend, dadurch kein Zusetzen der Scheibe  

• Kein Stützteller erforderlich  

• Sehr wirkungsvoll zum Schleifen an Behältern, zum Säubern von Schweißnähten, zum Entgraten, Entrosten und zum Putzen von Gussteilen","- ?Säubern und Einebnen von Schweißnähten

- ?Entgraten, Entrosten und zum Putzen 

- ?Schleifen von Kanten und Flächen

- ?Besonders geeignet für Edelstahl",,"Lamellen aus hochwertigem Zirkonkorund für einen sauberen Schliff  

Erhältlich in gewölbter oder flacher Form  

Selbstschärfend, dadurch kein Zusetzen der Scheibe",
107036,G320409,"MSG 19-12-3 0,8 mm 5-kg Spule/D-200",4199,Produkte entdecken|Schweißzusatzwerkstoffe|Nichtrostende und säurebeständige Stähle|MSG 19-12-3,"MSG 19-12-3 / ø 0,80 mm / D-200 / 5 kg",MSG 19-12-3,Hochlegierte Drahtelektrode,,"Hochlegierte Drahtelektrode mit extra niedrigem Kohlenstoffgehalt für das Verbindungsschweißen an nichtrostenden und hitzebeständigen Stählen. Korrosionsbeständige Auftragsschweißungen.

Schweißgut ist beständig für Betriebstemperaturen von -196 °C bis +400 °C.",,,"Hochlegierte Drahtelektrode, extra niedriger Kohlenstoffgehalt.

Verbindungsschweißen an nichtrostenden, hitzebeständigen Stählen.

Beständig -196 °C bis +400 °C.",
107046,615030,Schleifvliesfächer m. Leinen/ INOX 40 x 20 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 40 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107056,615010,"Schleifvliesteller m. Leinen/ INOX 115 x 22,0 mm",955,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesteller A06/150,Schleifvliesteller A06/150 / 115 mm / A06/150,Schleifvliesteller A06/150,Ideal zur Oberflächenbearbeitung an Edelstahl und NE-Metallen,,"• Ideal zur Oberflächenbearbeitung an Edelstahl und NE-Metallen 

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s und entspricht ca. 5.000 rpm

• Optimale Ergebnisse erzielt man zwischen 3.000 und 3.500 rpm",,,"Ideal für Edelstahl und NE-Metalle. Max. 30 m/s (#5.000 rpm).

Optimal: 3.000-3.500 rpm für beste Bearbeitungsergebnisse.",
107058,615020,"Schleifvliesteller o. Leinen/ INOX 115 x 22,0 mm",955,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesteller A06/150,Schleifvliesteller A06/150 / 115 mm / A06/150,Schleifvliesteller A06/150,Ideal zur Oberflächenbearbeitung an Edelstahl und NE-Metallen,,"• Ideal zur Oberflächenbearbeitung an Edelstahl und NE-Metallen 

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s und entspricht ca. 5.000 rpm

• Optimale Ergebnisse erzielt man zwischen 3.000 und 3.500 rpm",,,"Ideal für Edelstahl und NE-Metalle. Max. 30 m/s (#5.000 rpm).

Optimal: 3.000-3.500 rpm für beste Bearbeitungsergebnisse.",
107060,615031,Schleifvliesfächer m. Leinen/ INOX 50 x 30 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 50 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
107062,615032,Schleifvliesfächer m. Leinen/ INOX 60 x 30 x 6 mm,967,Produkte entdecken|Schleif- und Trenntechnik|Polieren und Satinieren|Schleifvliesfächer A06/150,Schleifvliesfächer A06/150 / 60 mm / A06/150,Schleifvliesfächer A06/150,Zum Feinschleifen und zur Oberflächenverbesserung,,"• Zum Feinschleifen und zur Oberflächenverbesserung

• Einsatz an Materialen aus Edelstahl und NE-Metallen

• Ausführung in Vlies mit Leinenzwischenlagen zur Oberflächenverbesserung

• Ausführung ohne Leinen zum Feinschleifen durch Finishing  

• 6 mm Schaft

• Zulässige Höchstgeschwindigkeit beträgt 30 m/s",,,"Ein System für alle Anwendungsbereiche, für vielfältige Arbeitseinsätze wie Reinigen, Entrosten, Entzundern und Entgraten

passend zu 3M-Roloc-System

hohe Standzeit und Sicherheit",
